Time-Cycle,Number,D/N,RootName,L19,L20,L21,EnglishName,Suffix,Choir,Zodiac,Quinary,Attribute,Psalm
09:21–09:41 AM,11,Day,LamedVavYod,Lamed,Vav,Yod,Lauviah,-iah,Cherubim,Taurus,20–25°,"Victory, overcoming enemies, spiritual revelation",מִפִּי עוֹלְלִים וְיֹנְקִים יִסַּדְתָּ עֹז לְמַעַן צוֹרְרֶיךָ
09:41–10:01 AM,12,Day,HethHeMem,Heth,He,Mem,Hahaiah,-iah,Cherubim,Taurus,25–30°,"Refuge, shelter, dreams, inner knowledge",לָמָה יְהוָה תַּעֲמֹד בְּרָחוֹק תַּעֲלִים לְעִתּוֹת בַּצָּרָה
10:01–10:21 AM,13,Day,YodYodYod,Yod,Yod,Yod,Yesalel,-el,Cherubim,Gemini,0–5°,"Harmony, reconciliation, friendship, fidelity",בְּרָב רַגְלִי רָעֲדוּ בִּי תָּמְכָה חַסְדְּךָ יְהוָה
10:21–10:41 AM,14,Day,MemBetTav,Mem,Bet,Tav,Mebahel,-el,Cherubim,Gemini,5–10°,"Truth, justice, freedom, protection from enemies",וַיְהִי יְהוָה מִשְׂגָּב לַדַּךְ מִשְׂגָּב לְעִתֹּות בַּצָּרָה
10:41–11:01 AM,15,Day,MemMenHe,Mem,Mem(final),He,Hariel,-el,Cherubim,Gemini,10–15°,"Purification, inspiration, understanding science and art",וַיהִי יְהוָה לִי לְמִשְׂגָּב וֵאלֹהַי לְצוּר מַחְסִי
11:01–11:21 AM,16,Day,PeAyinLamed,Pe,Ayin,Lamed,Hakamiah,-iah,Cherubim,Gemini,15–20°,"Loyalty, royalty, devotion, fidelity",אוֹהֵב צֶדֶק וּמְשַׁפֵּר דָּלִים יְהוָה
11:21–11:41 AM,17,Day,VavHeYod,Vav,He,Yod,Laviah,-iah,Thrones,Gemini,20–25°,"Success in big ideas, overcoming sorrow",צַדִּיק יְהוָה בְּכָל דְּרָכָיו וְחָסִיד בְּכָל מַעֲשָׂיו
11:41–12:01 PM,18,Day,YodTetYod,Yod,Tet,Yod,Caliel,-el,Thrones,Gemini,25–30°,"Justice, legal victory, defense against slander",מֵעִין יֵצֵא מַיִם חַיִּים וְיֵלְכוּ בְנֶחָלִים בְּתוֹךְ הַגֵּיא
12:01–12:21 PM,19,Day,KafSamekhTav,Kaf,Samekh,Tav,Leuviah,-iah,Thrones,Cancer,0–5°,"Memory, mental clarity, recovery from despair",חָסֶד יְהוָה מֵעוֹלָם וְעַד עוֹלָם עַל יְרֵאָיו
12:21–12:41 PM,20,Day,KafLamedVav,Kaf,Lamed,Vav,Pahaliah,-iah,Thrones,Cancer,5–10°,"Vocation, priestly inspiration, spiritual power",יְהוָה צְבָאוֹת אִתָּנוּ מִשְׂגָּב לָנוּ אֱלֹהֵי יַעֲקֹב
12:41–01:01 PM,21,Day,ReishAyinNun,Reish,Ayin,Nun,Neeliel,-iel,Thrones,Cancer,10–15°,"Discerning good from evil, spiritual vision",יְהוָה רֹפֵא לִשְׁבוּרֵי לֵב וּמְחַבֵּש לְעַצְבֹּתָם
01:01–01:21 PM,22,Day,MemYodResh,Mem,Yod,Resh,Yeiayel,-el,Thrones,Cancer,15–20°,"Fame, wealth, reputation protection",יְבָרֶכְךָ יְהוָה וְיִשְׁמְרֶךָ
01:21–01:41 PM,23,Day,KafPehNun,Kaf,Peh,Nun,Melael,-el,Thrones,Cancer,20–25°,"Courage, protection from wild beasts, healing",שָׁלוֹם עַל יִשְׂרָאֵל
01:41–02:01 PM,24,Day,ChetYodTzadi,Chet,Yod,Tzadi,Chahuiah,-iah,Thrones,Cancer,25–30°,"Reveals treachery, protection, perseverance",מִשְׁפָּטֶיךָ תְהוֹם רַבָּה אָדָם וּבְהֵמָה תוֹשִׁיעַ יְהוָה
02:01–02:21 PM,25,Day,AlephVavHe,Aleph,Vav,He,Nithhaiah,-iah,Thrones,Leo,0–5°,"Wisdom, spiritual disciplines, prophecy",הוֹד וְהָדָר לְפָנָיו עֹז וְתִפְאֶרֶת בִּמְקוֹמוֹ
02:21–02:41 PM,26,Day,HeiHeiAyin,He,He,Ayin,Haaiah,-iah,Thrones,Leo,5–10°,"Political power, strategy, diplomacy",יְהוָה רֹעִי לֹא אֶחְסָר
02:41–03:01 PM,27,Day,AlephNunNun,Aleph,Nun,Nun,Jeratel,-el,Thrones,Leo,10–15°,"Justice, mercy, fulfillment of wishes",יְהוָה אֹהֵב צֶדָּקָה מִשְׁפָּט חֶסֶד וְרַחֲמִים
03:01–03:21 PM,28,Day,LamedKafNun,Lamed,Kaf,Nun,Seheiah,-iah,Thrones,Leo,15–20°,"Longevity, safety, protection from accidents",שְׁמֹר לְעֵינֵי מִשְׁמֶרֶת חֲסֵדְךָ יְהוָה
03:21–03:41 PM,29,Day,MemNunReish,Mem,Nun,Resh,Reiyel,-el,Thrones,Leo,20–25°,"Freedom, inspiration, break hexes and curses",יְהוָה פִּתְחָה לִבִּי לַתּוֹרָה וּבְמִצְווֹתֶיךָ אֶרְדּוֹף
03:41–04:01 PM,30,Day,YodHeYod,Yod,He,Yod,Omael,-el,Thrones,Leo,25–30°,"Growth, transformation, comfort in difficulty",מִשְׁעָן וָמָעוֹן בְּיוֹם צָרָה יְהוָה
04:01–04:21 PM,31,Day,BethHeNun,Bet,He,Nun,Lecabel,-el,Thrones,Virgo,0–5°,"Precision, logic, solutions, engineering",יְהוָה אֵל עֶלְיוֹן גָּדוֹל עַל כָּל אֱלֹהִים
04:21–04:41 PM,32,Day,YodMemShin,Yod,Mem,Shin,Vasariah,-iah,Thrones,Virgo,5–10°,"Justice, mercy, eloquence, legal defense",יְהוָה אֵל רַחוּם וְחַנּוּן אֶרֶךְ אַפַּיִם וְרַב חֶסֶד וֶאֱמֶת
04:41–05:01 PM,33,Day,SamekhHeResh,Samekh,He,Resh,Yehuiah,-iah,Thrones,Virgo,10–15°,"Fidelity, leadership, success in difficult tasks",יְהוָה מָגֵן לְעֲנָוִים בְּיוֹם צָרָה מְעוֹז לְעֵת בַּצָּרָה
05:01–05:21 PM,34,Day,KafYodNun,Kaf,Yod,Nun,Lehahiah,-iah,Thrones,Virgo,15–20°,"Obedience, discipline, appointment to high office",יְהוָה חֶסֶד וְשָׁלוֹם עַל יִרְאֵיו עַל יִשְׂרָאֵל
05:21–05:41 PM,35,Day,YodAyinNun,Yod,Ayin,Nun,Chavakhiah,-iah,Thrones,Virgo,20–25°,"Peace in family, inheritances, unity",יְהוָה נְצִיב וָגָבֹהַ עַל כָּל גּוֹי
05:41–06:01 PM,36,Day,HeNunAleph,He,Nun,Aleph,Menadel,-el,Thrones,Virgo,25–30°,"Finding lost objects, return of exiles",הָשִׁיבֵנוּ יְהוָה אֵלֶיךָ וְנָשׁוּבָה חַדֵּשׁ יָמֵינוּ כְּקֶדֶם
06:01–06:21 PM,37,Night,AlephNunHe,Aleph,Nun,He,Aniel,-iel,Thrones,Libra,0–5°,"Breaking old patterns, spiritual courage, success in change",יְהוָה אֵל שַׁפְּרוּ פָּנָיו אֵלֶיךָ וִיחֻנֶּךָּ
06:21–06:41 PM,38,Night,YodReshMen,Yod,Resh,Mem,Haamiah,-iah,Thrones,Libra,5–10°,"Ritual, ceremony, stalwart virtue, justice",יְהוָה צּוּרִי וּפִלְטִי מְפַלְּטִי אֵלִי
06:41–07:01 PM,39,Night,AlephHeYod,Aleph,He,Yod,Rehael,-el,Thrones,Libra,10–15°,"Regeneration, healing, reconciliation",יְהוָה אֹור לִשְׁבוּרֵי לֵב וּמְחַבֵּשׁ לְעַצְבֹּתָם
07:01–07:21 PM,40,Night,ZayinHeNun,Zayin,He,Nun,Yeiayel,-el,Thrones,Libra,15–20°,"Wealth, fortune, travel protection",יְהוָה יִשְׁלַח עֶזְרְךָ מִקֹּדֶשׁ
07:21–07:41 PM,41,Night,BethLamedHe,Bet,Lamed,He,Hahahel,-hel,Thrones,Libra,20–25°,"Martyrdom, spiritual fortitude, charismatic leadership",יְהוָה אֵל מָגֵן מִזְּרָה לְעֵינֵי כָּל הָעוֹלָם
07:41–08:01 PM,42,Night,LamedNunNun,Lamed,Nun,Nun,Mikael,-el,Thrones,Libra,25–30°,"Openness to learning, travel luck, diplomacy",יְהוָה רָפָא לִשְׁבוּרֵי לֵב וּמְחַבֵּשׁ לְעַצְבֹּתָם
08:01–08:21 PM,43,Night,HeNunNun,He,Nun,Nun,Veuahiah,-iah,Thrones,Scorpio,0–5°,"Transformation, rebirth, finding new purpose",יְהוָה חֶסֶד עַל יִרְאֵיו וְצֶדֶק עַל יִשְׁרָאֵל
08:21–08:41 PM,44,Night,KafNunResh,Kaf,Nun,Resh,Yelahiah,-iah,Thrones,Scorpio,5–10°,"Success in war, righteous victory, courage",יְהוָה גִּבּוֹר יִשְׁלַח לְךָ עֶזְרָה
08:41–09:01 PM,45,Night,YodMenAyin,Yod,Mem,Ayin,Sealiah,-iah,Thrones,Scorpio,10–15°,"Health, resilience, resistance to evil",רְפָאָה נְפָשִׁי יְהוָה בְּרָפוּאָה וּמֶרְפֵּא
09:01–09:21 PM,46,Night,BethHeHe,Bet,He,He,Ariel,-el,Thrones,Scorpio,15–20°,"Revelation, hidden wisdom, uncovering secrets",יְהוָה אֵל רַחוּם וְחַנּוּן אֶרֶךְ אַפַּיִם
09:21–09:41 PM,47,Night,YodNunNun,Yod,Nun,Nun,Asaliah,-iah,Thrones,Scorpio,20–25°,"Access to divine mysteries, exaltation",יְהוָה יַעֲנְךָ בְּיוֹם צָרָה וְיָרֵם
09:41–10:01 PM,48,Night,KafVavHe,Kaf,Vav,He,Mihael,-el,Thrones,Scorpio,25–30°,"Unity, love, peace in marriage",אָנָּא יְהוָה הוֹשִׁיעָה נָא אָנָּא יְהוָה הַצְלִיחָה נָא
10:01–10:21 AM,49,Night,VavHeVav,Vav,He,Vav,Vehuel,-el,Principalities,Sagittarius,0–5°,"Elevated emotions, friendship with the divine, great joy",יְהוָה גָּדוֹל וּמְהֻלָּל מְאֹד וְלִגְדֻלָּתוֹ אֵין חֵקֶר
10:21–10:41 AM,50,Night,DaletNunYod,Dalet,Nun,Yod,Daniel,-el,Principalities,Sagittarius,5–10°,"Eloquence, justice, executive power, effective communication",חַנֵּנוּ יְהוָה חֳנֵּנוּ כִּי רַב שָׂבַעְנוּ בוּז
10:41–11:01 AM,51,Night,HeHeShin,He,He,Shin,Hahasiah,-iah,Principalities,Sagittarius,10–15°,"Alchemy, healing, uncovering mysteries of nature",יְהוָה תְּהִלָּתִי תָּהִלָּתִי בְּכָל פִּי תִּתָּן
11:01–11:21 AM,52,Night,YodAyinMem,Yod,Ayin,Mem,Imamiah,-iah,Principalities,Sagittarius,15–20°,"Patience against adversity, repentance, redemption of the fallen",יְהוָה רֹעִי לֹא אֶחְסָר בִּנְאוֹת דֶּשֶׁא יַרְבִּיצֵנִי
11:21–11:41 AM,53,Night,NunNunAleph,Nun,Nun,Aleph,Nanael,-el,Principalities,Capricorn,0–5°,"Spiritual knowledge, humility, philosophical studies",יְהוָה לְעוֹלָם דְּבָרְךָ נִצָּב בַּשָּׁמָיִם
11:41–12:01 PM,54,Night,NunYodTav,Nun,Yod,Tav,Nithael,-el,Principalities,Capricorn,5–10°,"Lasting reputation, authority, influences greatness",יְהוָה בַּשָּׁמַיִם כִּסְאוֹ מַלְכוּתוֹ בַּכֹּל מָשָׁלָה
12:01–12:21 PM,55,Night,MemBetHe,Mem,Bet,He,Mebahiah,-iah,Principalities,Capricorn,10–15°,"Moral clarity, inspiration, helping others, education",יְהוָה אַתָּה מְעוֹזִי מְעוֹז נַפְשִׁי בְּיוֹם צָרָה
12:21–12:41 PM,56,Night,PeVavYod,Pe,Vav,Yod,Poiel,-el,Principalities,Capricorn,15–20°,"Fortune, support, humility and modesty",יְהוָה סוֹמֵךְ לְכָל הַנֹּפְלִים וְזוֹקֵף לְכָל הַכְּפוּפִים
12:41–01:01 PM,57,Night,NunMenMen,Nun,Mem,Mem,Nemamiah,-iah,Archangels,Capricorn,20–25°,"Release from bondage, leadership in adversity",יְהוָה שֹׁמְרֵי יְהוָה הָיוּ בִּטְחוֹנֵנוּ
01:01–01:21 PM,58,Night,YodAlephLamed,Yod,Alef,Lamed,Ieialel,-el,Archangels,Capricorn,25–30°,"Overcoming sadness, protection against evil, courage",יְהוָה אַל תִּרְאֵנָה טוּגָה בְּלִבִּי לֹא תִשַּׁלֵּט עָלַי
01:21–01:41 PM,59,Night,HeReshHe,He,Resh,He,Harahel,-el,Archangels,Aquarius,0–5°,"Intellectual prosperity, inspiration for writing",יְהוָה מִזְרָח וּמַעֲרָב יְהַלְלוּ אֶת שֵׁם יְהוָה
01:41–02:01 PM,60,Night,MemZayinResh,Mem,Zayin,Resh,Mizrael,-el,Archangels,Aquarius,5–10°,"Healing mental illnesses, liberation from torments",יְהוָה צַדִּיק בְּכָל דְּרָכָיו וְחָסִיד בְּכָל מַעֲשָׂיו
02:01–02:21 PM,61,Night,AyinMemBet,Ayin,Mem,Bet,Umabel,-el,Archangels,Aquarius,10–15°,"Affinity with astrology, understanding one's mission",יְהוָה שְׁמֹר נַפְשִׁי כִּי חָסִיתִי בָךְ
02:21–02:41 PM,62,Night,YodHeLamed,Yod,He,Lamed,Iahhel,-el,Archangels,Aquarius,15–20°,"Solitude, inner wisdom, guidance without judgment",יְהוָה חַנֵּנוּ חָנוּן וְרֻחֵּנוּ
02:41–03:01 PM,63,Night,AlephNunVav,Aleph,Nun,Vav,Anauel,-el,Archangels,Aquarius,20–25°,"Unity, faith, protection from accidents",יְהוָה עִבְרִי-נָא הַרְאֵנִי-נָא פָּנֶיךָ
03:01–03:21 PM,64,Night,MemHeYod,Mem,He,Yod,Mehiel,-el,Archangels,Aquarius,25–30°,"Softening anger, inspiration of writers",יְהוָה עֵין יְהוָה עַל יְרֵאָיו לְמִקְוֵה חַסְדּוֹ
03:21–03:41 PM,65,Night,DaletMemBet,Dalet,Mem,Bet,Damabiah,-iah,Angels,Pisces,0–5°,"Wisdom of the sea, success in ventures, purity",יְהוָה שׁוּבָה עַד מָתַי וְהִנָּחֵם עַל עֲבָדֶיךָ
03:41–04:01 PM,66,Night,MemNunKaf,Mem,Nun,Kaf,Manakel,-el,Angels,Pisces,5–10°,"Understanding persons and things, mental healing",יְהוָה אַל תֶּעְשֵׂנִי בְּעוֹד זְקֵנָה וְשֵׂיבָה
04:01–04:21 PM,67,Night,AlephYodYod,Alef,Yod,Yod,Eyael,-el,Angels,Pisces,10–15°,"Transformation, inspiration, discovery",יְהוָה תַּעֲנֶה לְעַבְדְּךָ בְּאֵת רָצוֹן בְּרַחֲמֶיךָ הָרַבִּים
04:21–04:41 PM,68,Night,HeBetVavHe,He,Bet,Vav,Habuhiah,-iah,Angels,Pisces,15–20°,"Healing, fertility, protection of agriculture",יְהוָה הוֹדוּ לַיהוָה כִּי-טוֹב כִּי לְעוֹלָם חַסְדּוֹ
04:41–05:01 PM,69,Night,ReshKafLamed,Resh,Kaf,Lamed,Rochel,-el,Angels,Pisces,20–25°,"Recovery of lost objects, clear memory, sense of justice",יְהוָה מְנָת חֶלְקִי וְכוֹסִי אַתָּה תּוֹמִיךְ גּוֹרָלִי
05:01–05:21 PM,70,Night,YodBetMem,Yod,Bet,Mem,Jabamiah,-iah,Angels,Pisces,25–30°,"Generation and regeneration, spiritual alchemy",בְּרֵאשִׁית בָּרָא אֱלֹהִים אֵת הַשָּׁמַיִם וְאֵת הָאָרֶץ
05:21–05:41 PM,71,Night,HeYodAleph,He,Yod,Aleph,Haiaiel,-iel,Angels,Pisces,25–30°,"Bravery, success in conflict, victory over adversity",אוֹדֶה יְהוָה מְאֹד בְּפִי וּבְתוֹךְ רַבִּים אֲהַלְּלֶנּוּ
05:41–06:01 PM,72,Night,MemVavYod,Mem,Vav,Yod,Mumiah,-iah,Angels,Pisces,25–30°,"Completion, rebirth, resurrection",שׁוּבִי נַפְשִׁי לִמְנוּחָיְכִי כִּי יְהוָה גָּמַל עָלָיְכִי

